"","Estado","Municipio","Colonia","id"
"683","PUEBLA","CHIGNAHUAPAN","SAN ANTONIO MATLAHUACALES","PU.CH.SN"
"684","PUEBLA","CHIGNAHUAPAN","PIEDRA ANCHA","PU.CH.PI"
"685","PUEBLA","CHIGNAHUAPAN","LA GLORIA 2a SECCION","PU.CH.LG"
"686","PUEBLA","CHIGNAHUAPAN","TENANCINGO","PU.CH.TA"
"687","PUEBLA","CHIGNAHUAPAN","AJOLOTLA","PU.CH.AJ"
"688","PUEBLA","CHIGNAHUAPAN","TRES CABEZAS","PU.CH.TR"
"689","PUEBLA","CHIGNAHUAPAN","EL PAREDON","PU.CH.EA"
"690","PUEBLA","CHIGNAHUAPAN","TECOLOQUILLO","PU.CH.TC"
"691","PUEBLA","CHIGNAHUAPAN","SANTA ROSA","PU.CH.SR"
"692","PUEBLA","CHIGNAHUAPAN","SAN LUIS DEL VALLE","PU.CH.SI"
"693","PUEBLA","CHIGNAHUAPAN","RINCONADA","PU.CH.RI"
"694","PUEBLA","CHIGNAHUAPAN","LAS MESAS","PU.CH.LE"
"695","PUEBLA","CHIGNAHUAPAN","TECOYUCA","PU.CH.TY"
"696","PUEBLA","CHIGNAHUAPAN","VILLA CUAUHTEMOC","PU.CH.VV"
"697","PUEBLA","CHIGNAHUAPAN","AQUILES SERDAN","PU.CH.AQ"
"698","PUEBLA","CHIGNAHUAPAN","ATLAMAXAC","PU.CH.AT"
"699","PUEBLA","CHIGNAHUAPAN","SAN ISIDRO COLIUCA","PU.CH.SD"
"700","PUEBLA","LIBRES","MORELOS","PU.LI.MM"
"701","PUEBLA","ZACATLAN","CABAÑAS DEL MIRADOR","PU.ZA.CB"
"702","PUEBLA","CHIGNAHUAPAN","SAN JOSE ATZINTLIMEYA","PU.CH.SO"
"703","PUEBLA","LIBRES","GUERRERO","PU.LI.GG"
"704","PUEBLA","LIBRES","EL ARENAL","PU.LI.EA"
"705","PUEBLA","LIBRES","LOS CONOS","PU.LI.LL"
"706","PUEBLA","LIBRES","DE CUAUTZOLCO","PU.LI.DC"
"707","PUEBLA","ZACATLAN","SAN MIGUEL TENANGO","PU.ZA.SM"
"708","PUEBLA","CHIGNAHUAPAN","TEOCONCHILA","PU.CH.TH"
"709","PUEBLA","OCOTEPEC","EL MIRADOR","PU.OC.EM"
"710","PUEBLA","CHIGNAHUAPAN","SAN SEBASTIAN","PU.CH.SE"
"711","PUEBLA","ZACATLAN","TLACHICA","PU.ZA.TA"
"712","PUEBLA","CHIGNAHUAPAN","MICHAC","PU.CH.MM"
"713","PUEBLA","LIBRES","SAN CARLOS","PU.LI.SC"
"714","PUEBLA","OCOTEPEC","TETEMI","PU.OC.TT"
"715","PUEBLA","CHIGNAHUAPAN","LOS PERALES","PU.CH.LP"
"716","PUEBLA","CHIGNAHUAPAN","GREEN CITY","PU.CH.GG"
"717","PUEBLA","LIBRES","LA CAÑADA","PU.LI.LC"
"718","PUEBLA","LIBRES","VILLA MONTANA","PU.LI.VV"
"719","PUEBLA","LIBRES","SAN PABLO","PU.LI.SP"
"720","PUEBLA","LIBRES","NUEVO MEXICO","PU.LI.NN"
"721","PUEBLA","CHIGNAHUAPAN","LA INMACULADA","PU.CH.LI"
"722","PUEBLA","OCOTEPEC","OCOTEPEC","PU.OC.OO"
"723","PUEBLA","ZACAPOAXTLA","IXTICPAC","PU.ZA.II"
